x_m,y_m,w_tr_left_m,w_tr_right_m
-722.976387,-709.5911,4.816938,4.816938
-721.575556,-704.6605,4.837088,4.837088
-720.337344,-699.9503,4.758552,4.758552
-719.24038,-694.9004,4.789835,4.789835
-718.321352,-690.1166,4.736195,4.736195
-717.482808,-685.0117,4.776514,4.776514
-716.93546,-680.1704,4.785923,4.785923
-716.388113,-675.3292,4.795332,4.795332
-716.017476,-670.1738,4.78087,4.78087
-715.795398,-665.3071,4.811855,4.811855
-715.606692,-660.1694,4.819751,4.819751
-715.624799,-655.3028,4.818917,4.818917
-715.864711,-650.2779,4.877814,4.877814
-716.225611,-645.2505,4.942299,4.942299
-716.724822,-640.1944,4.977363,4.977363
-717.41122,-635.1513,5.023932,5.023932
-718.144953,-630.3351,4.992875,4.992875
-719.029766,-625.3309,5.003928,5.003928
-720.017996,-620.5602,5.024716,5.024716
-721.006225,-615.7895,5.045504,5.045504
-721.994455,-611.0188,5.066292,5.066292
-723.027987,-606.1739,5.059514,5.059514
-724.064554,-601.4133,5.050945,5.050945
-725.101122,-596.6528,5.042376,5.042376
-726.137689,-591.8922,5.033807,5.033807
-727.180592,-587.1192,5.021745,5.021745
-728.223567,-582.3601,5.006607,5.006607
-729.267433,-577.6012,4.99238,4.99238
-730.316819,-572.8434,4.983795,4.983795
-731.352339,-568.119,4.98163,4.98163
-732.604556,-563.4359,5.221813,5.221813
-733.808429,-558.7356,5.411137,5.411137
-734.838678,-553.9737,5.417751,5.417751
-735.868927,-549.2118,5.424364,5.424364
-736.913862,-544.4112,5.424884,5.424884
-737.958534,-539.6525,5.409611,5.409611
-738.996237,-534.8923,5.387219,5.387219
-740.033939,-530.1322,5.364828,5.364828
-741.059719,-525.3697,5.330292,5.330292
-742.046392,-520.6519,5.31018,5.31018
-743.041918,-515.8827,5.29237,5.29237
-744.011375,-511.1089,5.248111,5.248111
-744.955535,-506.3307,5.178186,5.178186
-745.934795,-501.529,5.132286,5.132286
-746.937401,-496.7616,5.094075,5.094075
-747.940007,-491.9942,5.055864,5.055864
-748.942613,-487.2268,5.017653,5.017653
-749.953425,-482.4611,4.98782,4.98782
-750.993418,-477.7191,5.001466,5.001466
-752.033681,-472.9594,5.018581,5.018581
-753.073945,-468.1997,5.035696,5.035696
-754.114209,-463.4401,5.052811,5.052811
-755.112891,-458.6724,5.027589,5.027589
-755.903267,-454.2345,5.062367,5.062367
